波数(cm-1),吸光度
857.69,0.059807
858.17,0.059877
858.65,0.060025
859.13,0.060312
859.61,0.060772
860.10,0.061398
860.58,0.062141
861.06,0.062927
861.54,0.063692
862.02,0.064396
862.51,0.065042
862.99,0.065664
863.47,0.066308
863.95,0.067014
864.44,0.067796
864.92,0.068642
865.40,0.069521
865.88,0.070400
866.36,0.071252
866.85,0.072062
867.33,0.072833
867.81,0.073579
868.29,0.074324
868.77,0.075103
869.26,0.075959
869.74,0.076927
870.22,0.078026
870.70,0.079228
871.18,0.080458
871.67,0.081578
872.15,0.082421
872.63,0.082837
873.11,0.082723
873.60,0.082076
874.08,0.080990
874.56,0.079647
875.04,0.078252
875.52,0.076984
876.01,0.075960
876.49,0.075205
876.97,0.074663
877.45,0.074228
877.93,0.073783
878.42,0.073237
878.90,0.072541
879.38,0.071694
879.86,0.070728
880.35,0.069693
880.83,0.068636
881.31,0.067591
881.79,0.066577
882.27,0.065594
882.76,0.064635
883.24,0.063684
883.72,0.062730
884.20,0.061766
884.68,0.060799
885.17,0.059848
885.65,0.058951
886.13,0.058151
886.61,0.057497
887.09,0.057035
887.58,0.056790
888.06,0.056767
888.54,0.056944
889.02,0.057273
889.51,0.057689
889.99,0.058117
890.47,0.058489
890.95,0.058756
891.43,0.058893
891.92,0.058913
892.40,0.058858
892.88,0.058795
893.36,0.058788
893.84,0.058883
894.33,0.059091
894.81,0.059384
895.29,0.059702
895.77,0.059979
896.25,0.060172
896.74,0.060276
897.22,0.060332
897.70,0.060407
898.18,0.060573
898.67,0.060866
899.15,0.061268
899.63,0.061702
900.11,0.062055
900.59,0.062211
901.08,0.062087
901.56,0.061665
902.04,0.060996
902.52,0.060193
903.00,0.059389
903.49,0.058722
903.97,0.058298
904.45,0.058172
904.93,0.058351
905.42,0.058800
905.90,0.059455
906.38,0.060233
906.86,0.061046
907.34,0.061813
907.83,0.062462
908.31,0.062943
908.79,0.063238
909.27,0.063358
909.75,0.063345
910.24,0.063258
910.72,0.063168
911.20,0.063137
911.68,0.063210
912.16,0.063407
912.65,0.063721
913.13,0.064117
913.61,0.064545
914.09,0.064952
914.58,0.065280
915.06,0.065493
915.54,0.065576
916.02,0.065544
916.50,0.065437
916.99,0.065314
917.47,0.065240
917.95,0.065269
918.43,0.065429
918.91,0.065724
919.40,0.066131
919.88,0.066607
920.36,0.067109
920.84,0.067598
921.33,0.068057
921.81,0.068484
922.29,0.068889
922.77,0.069294
923.25,0.069715
923.74,0.070163
924.22,0.070639
924.70,0.071134
925.18,0.071636
925.66,0.072129
926.15,0.072604
926.63,0.073057
927.11,0.073493
927.59,0.073920
928.07,0.074349
928.56,0.074789
929.04,0.075247
929.52,0.075719
930.00,0.076205
930.49,0.076699
930.97,0.077205
931.45,0.077728
931.93,0.078278
932.41,0.078859
932.90,0.079473
933.38,0.080110
933.86,0.080757
934.34,0.081399
934.82,0.082032
935.31,0.082660
935.79,0.083298
936.27,0.083963
936.75,0.084666
937.23,0.085405
937.72,0.086166
938.20,0.086927
938.68,0.087668
939.16,0.088386
939.65,0.089094
940.13,0.089818
940.61,0.090591
941.09,0.091432
941.57,0.092343
942.06,0.093301
942.54,0.094267
943.02,0.095194
943.50,0.096045
943.98,0.096804
944.47,0.097477
944.95,0.098101
945.43,0.098728
945.91,0.099417
946.39,0.100221
946.88,0.101168
947.36,0.102254
947.84,0.103440
948.32,0.104654
948.81,0.105819
949.29,0.106865
949.77,0.107763
950.25,0.108536
950.73,0.109260
951.22,0.110037
951.70,0.110965
952.18,0.112108
952.66,0.113463
953.14,0.114960
953.63,0.116479
954.11,0.117892
954.59,0.119091
955.07,0.120022
955.56,0.120692
956.04,0.121157
956.52,0.121500
957.00,0.121798
957.48,0.122112
957.97,0.122473
958.45,0.122883
958.93,0.123326
959.41,0.123769
959.89,0.124176
960.38,0.124505
960.86,0.124714
961.34,0.124770
961.82,0.124651
962.30,0.124362
962.79,0.123928
963.27,0.123401
963.75,0.122839
964.23,0.122302
964.72,0.121832
965.20,0.121452
965.68,0.121159
966.16,0.120933
966.64,0.120754
967.13,0.120606
967.61,0.120488
968.09,0.120423
968.57,0.120447
969.05,0.120612
969.54,0.120961
970.02,0.121528
970.50,0.122324
970.98,0.123331
971.47,0.124504
971.95,0.125781
972.43,0.127094
972.91,0.128384
973.39,0.129611
973.88,0.130763
