角度(2θ),强度
10.56067471,2305
10.573805,2296
10.58693528,2279
10.60006556,2277
10.61319584,2210
10.62632613,2215
10.63945641,2279
10.65258669,2314
10.66571697,2219
10.67884726,2219
10.69197754,2273
10.70510782,2201
10.71823811,2105
10.73136839,2250
10.74449867,2257
10.75762895,2109
10.77075924,2212
10.78388952,2195
10.7970198,2219
10.81015008,2226
10.82328037,2234
10.83641065,2146
10.84954093,2142
10.86267121,2109
10.8758015,2225
10.88893178,2088
10.90206206,2228
10.91519235,2204
10.92832263,2208
10.94145291,2175
10.95458319,2233
10.96771348,2117
10.98084376,2167
10.99397404,2180
11.00710432,2134
11.02023461,2193
11.03336489,2203
11.04649517,2084
11.05962545,2162
11.07275574,2211
11.08588602,2082
11.0990163,2120
11.11214659,2207
11.12527687,2162
11.13840715,2199
11.15153743,2210
11.16466772,2118
11.177798,2127
11.19092828,2016
11.20405856,2178
11.21718885,2131
11.23031913,2175
11.24344941,2094
11.25657969,2173
11.26970998,2078
11.28284026,2153
11.29597054,2040
11.30910083,2046
11.32223111,2125
11.33536139,2150
11.34849167,2078
11.36162196,2102
11.37475224,2097
11.38788252,2120
11.4010128,2020
11.41414309,2051
11.42727337,2009
11.44040365,2054
11.45353394,2123
11.46666422,2099
11.4797945,2078
11.49292478,2151
11.50605507,2060
11.51918535,2117
11.53231563,2135
11.54544591,2048
11.5585762,2090
11.57170648,2047
11.58483676,2125
11.59796704,1986
11.61109733,2106
11.62422761,1967
11.63735789,2042
11.65048818,1998
11.66361846,2065
11.67674874,2081
11.68987902,1986
11.70300931,2044
11.71613959,2088
11.72926987,2059
11.74240015,2030
11.75553044,2040
11.76866072,1970
11.781791,1954
11.79492128,2031
11.80805157,2057
11.82118185,2002
11.83431213,1922
11.84744242,2004
11.8605727,2102
11.87370298,1990
11.88683326,2045
11.89996355,2001
11.91309383,1973
11.92622411,2019
11.93935439,1965
11.95248468,2011
11.96561496,1950
11.97874524,1927
11.99187552,1994
12.00500581,1973
12.01813609,1969
12.03126637,1952
12.04439666,2007
12.05752694,2006
12.07065722,2064
12.0837875,1942
12.09691779,2018
12.11004807,1961
12.12317835,1936
12.13630863,1974
12.14943892,2033
12.1625692,1938
12.17569948,2016
12.18882976,1885
12.20196005,2019
12.21509033,2007
12.22822061,1873
12.2413509,1854
12.25448118,1964
12.26761146,1992
12.28074174,1900
12.29387203,1995
12.30700231,1918
